epoch,train_loss,train_accuracy,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc
1,6.77585150986243,0.0011059864457831326,0.0,0.01,0.705,0.43,0.205,0.06
2,6.774055795292026,0.0011379222246127366,0.0,0.01,0.68,0.41,0.165,0.06
3,6.772276876715497,0.0010841356497418245,0.0,0.01,0.645,0.435,0.25,0.075
4,6.771632331578949,0.0011328797332185885,0.0,0.015,0.705,0.43,0.215,0.055
5,6.770215366875654,0.0010874973106712565,0.0,0.01,0.68,0.425,0.205,0.065
6,6.769258577934436,0.0011110289371772805,0.0,0.01,0.665,0.43,0.215,0.065
7,6.768878657723458,0.0011345605636833046,0.0,0.01,0.665,0.43,0.235,0.06
8,6.767764635627733,0.0011631346815834769,0.0,0.01,0.7,0.45,0.17,0.07
9,6.767277641263558,0.0011513688683304647,0.0,0.01,0.715,0.435,0.245,0.065
10,6.766072349581169,0.0010421148881239242,0.0,0.01,0.705,0.42,0.23,0.065
11,6.765219858304153,0.0011799429862306369,0.0,0.01,0.675,0.425,0.215,0.07
12,6.764357656291758,0.0011530496987951807,0.0,0.015,0.695,0.47,0.22,0.06
13,6.763834098940667,0.0012034746127366608,0.0,0.015,0.69,0.355,0.245,0.065
14,6.763653053474098,0.0011379222246127366,0.0,0.01,0.675,0.43,0.22,0.06
15,6.762973281479538,0.0011311989027538727,0.0,0.015,0.7,0.43,0.205,0.06
16,6.762640999024173,0.001196751290877797,0.0,0.015,0.665,0.425,0.195,0.065
17,6.761221009975046,0.0011143905981067126,0.0,0.025,0.675,0.435,0.2,0.07
18,6.761016509208745,0.0011664963425129088,0.0,0.01,0.66,0.465,0.21,0.065
19,6.760694970772722,0.0011362413941480207,0.0,0.015,0.67,0.435,0.195,0.07
20,6.759931293494114,0.0011227947504302927,0.0,0.015,0.69,0.485,0.205,0.06
21,6.759125774370413,0.0011866663080895008,0.0,0.02,0.66,0.38,0.23,0.075
22,6.757733107844236,0.001188347138554217,0.0,0.015,0.665,0.46,0.2,0.08
23,6.757241226925086,0.0011143905981067126,0.0,0.015,0.715,0.47,0.235,0.06
24,6.756664820259081,0.001213559595524957,0.0,0.015,0.67,0.385,0.23,0.07
25,6.755646675260875,0.0011412838855421688,0.0,0.015,0.655,0.42,0.205,0.065
26,6.755366196525692,0.001205155443201377,0.0,0.02,0.645,0.43,0.215,0.055
27,6.754850587828434,0.0012740694922547331,0.0,0.015,0.67,0.43,0.24,0.07
28,6.753464765269662,0.001196751290877797,0.0,0.015,0.725,0.455,0.255,0.065
29,6.75331762694656,0.001216921256454389,0.0,0.015,0.73,0.46,0.235,0.065
30,6.752380184790764,0.001218602086919105,0.0,0.015,0.685,0.445,0.23,0.055
31,6.7516780112983845,0.001221963747848537,0.0,0.02,0.715,0.415,0.245,0.065
32,6.7510889713202,0.001220282917383821,0.0,0.015,0.64,0.45,0.24,0.065
33,6.750760941004794,0.001243814543889845,0.0,0.025,0.685,0.46,0.17,0.075
34,6.7496341058596485,0.0013228135757314974,0.0,0.025,0.68,0.405,0.235,0.08
35,6.749330726630101,0.001238772052495697,0.0,0.025,0.69,0.455,0.235,0.065
36,6.748762484466763,0.001223644578313253,0.0,0.015,0.635,0.39,0.225,0.07
37,6.748138540993459,0.0012555803571428572,0.0,0.015,0.665,0.455,0.255,0.09
38,6.748022850121976,0.001228687069707401,0.0,0.02,0.695,0.445,0.225,0.065
39,6.746836491583136,0.0013379410499139415,0.0,0.02,0.745,0.47,0.265,0.085
40,6.746592836002475,0.001216921256454389,0.0,0.02,0.725,0.435,0.21,0.06
